Week,Year,GID,First Name,Last Name,Pos,Team,h/a,Oppt,DK points,DK salary
1,2017,5113, Torrey,Smith,WR,phi,a,was,4,3700
1,2017,5381, Devin,Funchess,WR,car,a,sfo,4,4300
1,2017,5257, Kelvin,Benjamin,WR,car,a,sfo,3.5,5900
1,2017,5167, Chris,Hogan,WR,nwe,h,kan,3.5,4800
1,2017,5367, Martavis,Bryant,WR,pit,a,cle,3.4,6000
1,2017,5555, Taywan,Taylor,WR,ten,h,oak,3.4,3600
1,2017,5410, Jamison,Crowder,WR,was,h,phi,3.4,5600
1,2017,5326, Brandon,Coleman,WR,nor,a,min,3.3,3300
1,2017,5557, Zay,Jones,WR,buf,h,nyj,3.1,3500
1,2017,5188, Jarius,Wright,WR,min,h,nor,3.1,3000
1,2017,5478, Eli,Rogers,WR,pit,a,cle,3.1,3900
1,2017,5551, ArDarius,Stewart,WR,nyj,a,buf,3,3700
1,2017,5258, Allen,Robinson,WR,jac,a,hou,2.7,5200
1,2017,5377, Kevin,White,WR,chi,h,atl,2.6,4200
1,2017,5160, Deonte,Thompson,WR,chi,h,atl,2.5,3000
1,2017,3824, Kenny,Britt,WR,cle,h,pit,2.3,4800
1,2017,3885, Arrelious,Benn,WR,jac,a,hou,2.2,3000
1,2017,5157, Brian,Quick,WR,was,h,phi,2.1,3100
1,2017,5455, Tyler,Boyd,WR,cin,h,bal,2.1,3600
1,2017,3627, Brandon,Marshall,WR,nyg,a,dal,2,5100
1,2017,5386, Tyler,Lockett,WR,sea,a,gnb,1.8,4400
1,2017,5571, Trent,Taylor,WR,sfo,h,car,1.8,3000
1,2017,3809, Mike,Wallace,WR,bal,a,cin,1.8,4500
1,2017,5199, Tavon,Austin,WR,lar,h,ind,1.8,3800
1,2017,5208, Cordarrelle,Patterson,WR,oak,a,ten,1.7,3000
1,2017,5453, Laquon,Treadwell,WR,min,h,nor,1.7,3500
1,2017,5134, Aldrick,Robinson,WR,sfo,h,car,1.7,3300
1,2017,5379, Breshad,Perriman,WR,bal,a,cin,1.5,3500
1,2017,5275, Kamar,Aiken,WR,ind,a,lar,1.3,3500
1,2017,2958, De'Anthony,Thomas,WR,kan,a,nwe,1.2,3000
1,2017,5334, Matt,Hazel,WR,ind,a,lar,1.1,3000
1,2017,5277, Michael,Campanaro,WR,bal,a,cin,0.2,3000
1,2017,3848, Darrius,Heyward-Bey,WR,pit,a,cle,0,3000
1,2017,5384, Phillip,Dorsett,WR,nwe,h,kan,0,3300
1,2017,5479, Chris,Moore,WR,bal,a,cin,0,3000
1,2017,5480, Alex,Erickson,WR,cin,h,bal,0,3000
1,2017,5239, Brittan,Golden,WR,ari,a,det,0,3000
1,2017,3732, Eric,Weems,WR,ten,h,oak,0,3000
1,2017,5462, Pharoh,Cooper,WR,lar,h,ind,0,3100
1,2017,5256, Marqise,Lee,WR,jac,a,hou,0,3800
1,2017,5399, Geremy,Davis,WR,lac,a,den,0,3000
1,2017,5411, Vince,Mayle,WR,bal,a,cin,0,3000
1,2017,5515, Demarcus,Robinson,WR,kan,a,nwe,0,3000
1,2017,5553, JuJu,Smith-Schuster,WR,pit,a,cle,0,3600
1,2017,3860, Brandon,Tate,WR,buf,h,nyj,0,3000
1,2017,5268, Cody,Latimer,WR,den,h,lac,0,3000
1,2017,5506, Charone,Peake,WR,nyj,a,buf,0,3500
1,2017,5351, Jeff,Janis,WR,gnb,h,sea,0,3600
1,2017,5368, Chris,Matthews,WR,bal,a,cin,0,3000
1,2017,5442, Kasen,Williams,WR,cle,h,pit,0,3000
1,2017,5563, Jehu,Chesson,WR,kan,a,nwe,0,3000
1,2017,3978, Andre,Roberts,WR,atl,a,chi,0,3000
1,2017,5572, Amara,Darboh,WR,sea,a,gnb,0,3000
1,2017,5476, Braxton,Miller,WR,hou,h,jac,0,3900
1,2017,5388, Sammie,Coates,WR,cle,h,pit,0,3800
1,2017,5520, Kalif,Raymond,WR,nyj,a,buf,0,3000
1,2017,5460, Josh,Doctson,WR,was,h,phi,0,3500
1,2017,5491, Johnny,Holton,WR,oak,a,ten,0,3000
1,2017,5556, Curtis,Samuel,WR,car,a,sfo,0,3600
1,2017,5518, Cody,Core,WR,cin,h,bal,0,3000
1,2017,5574, Isaiah,McKenzie,WR,den,h,lac,0,3000
1,2017,5229, Jaron,Brown,WR,ari,a,det,0,3300
1,2017,5429, Quan,Bray,WR,ind,a,lar,0,3000
1,2017,5570, Keelan,Cole,WR,jac,a,hou,0,3000
1,2017,5387, Justin,Hardy,WR,atl,a,chi,0,3000
1,2017,5498, Trevor,Davis,WR,gnb,h,sea,0,3000
1,2017,5265, Bruce,Ellington,WR,hou,h,jac,0,3000
