Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,Start,Injury
SG/SF,Ben McLemore,3500,MEM@LAL 11/05/2017 09:30PM ET,0,MEM,,
PG/SG,Andrew Harrison,3400,MEM@LAL 11/05/2017 09:30PM ET,10.469,MEM,1,
SF/PF,Chandler Parsons,3400,MEM@LAL 11/05/2017 09:30PM ET,17.406,MEM,,
PF/C,Brandan Wright,3100,MEM@LAL 11/05/2017 09:30PM ET,13.639,MEM,,
PF,Vince Hunter,3000,MEM@LAL 11/05/2017 09:30PM ET,0,MEM,,
PF/C,Ivan Rabb,3000,MEM@LAL 11/05/2017 09:30PM ET,0,MEM,,
PG/SG,Wayne Selden Jr.,3000,MEM@LAL 11/05/2017 09:30PM ET,0,MEM,,1
PF/C,Deyonta Davis,3000,MEM@LAL 11/05/2017 09:30PM ET,6,MEM,,
SG,Kobi Simmons,3000,MEM@LAL 11/05/2017 09:30PM ET,0,MEM,,
C,Karl-Anthony Towns,9200,CHA@MIN 11/05/2017 08:00PM ET,43.611,MIN,1,
SG,Jimmy Butler,7300,CHA@MIN 11/05/2017 08:00PM ET,31,MIN,1,
SF/PF,Andrew Wiggins,6800,CHA@MIN 11/05/2017 08:00PM ET,30.528,MIN,1,
PG,Jeff Teague,6400,CHA@MIN 11/05/2017 08:00PM ET,32.278,MIN,1,
PF/C,Taj Gibson,4200,CHA@MIN 11/05/2017 08:00PM ET,23.694,MIN,1,
SG,Jamal Crawford,3900,CHA@MIN 11/05/2017 08:00PM ET,18.25,MIN,,
SG/SF,Shabazz Muhammad,3800,CHA@MIN 11/05/2017 08:00PM ET,8.167,MIN,,
SF/PF,Nemanja Bjelica,3400,CHA@MIN 11/05/2017 08:00PM ET,14.833,MIN,,
PF/C,Gorgui Dieng,3300,CHA@MIN 11/05/2017 08:00PM ET,13.917,MIN,,
SG/SF,Anthony Brown,3000,CHA@MIN 11/05/2017 08:00PM ET,0,MIN,,
PG/SG,Tyus Jones,3000,CHA@MIN 11/05/2017 08:00PM ET,8.583,MIN,,
C,Cole Aldrich,3000,CHA@MIN 11/05/2017 08:00PM ET,1.917,MIN,,
C,Justin Patton,3000,CHA@MIN 11/05/2017 08:00PM ET,0,MIN,,2
PG/SG,Aaron Brooks,3000,CHA@MIN 11/05/2017 08:00PM ET,2.5,MIN,,
SG/SF,Marcus Georges-Hunt,3000,CHA@MIN 11/05/2017 08:00PM ET,-0.125,MIN,,
PF/C,Kristaps Porzingis,9300,IND@NY 11/05/2017 07:30PM ET,44.688,NY,1,1
SG/SF,Tim Hardaway Jr.,6100,IND@NY 11/05/2017 07:30PM ET,27.156,NY,1,
PF/C,Enes Kanter,6000,IND@NY 11/05/2017 07:30PM ET,30.813,NY,1,
PG,Jarrett Jack,4600,IND@NY 11/05/2017 07:30PM ET,19.417,NY,1,
SG/SF,Courtney Lee,4300,IND@NY 11/05/2017 07:30PM ET,21.844,NY,1,
PF/C,Kyle O'Quinn,4200,IND@NY 11/05/2017 07:30PM ET,19.75,NY,,
C,Joakim Noah,4000,IND@NY 11/05/2017 07:30PM ET,0,NY,,2
PG/SG,Frank Ntilikina,3800,IND@NY 11/05/2017 07:30PM ET,13.25,NY,,
PG,Ramon Sessions,3700,IND@NY 11/05/2017 07:30PM ET,15.875,NY,,
SF/PF,Michael Beasley,3500,IND@NY 11/05/2017 07:30PM ET,8.429,NY,,
SF/PF,Doug McDermott,3500,IND@NY 11/05/2017 07:30PM ET,14.25,NY,,
PF/C,Guillermo Hernangomez,3500,IND@NY 11/05/2017 07:30PM ET,8.9,NY,,
PF,Luke Kornet,3000,IND@NY 11/05/2017 07:30PM ET,0,NY,,
PG/SG,Ron Baker,3000,IND@NY 11/05/2017 07:30PM ET,12,NY,,1
SF/PF,Lance Thomas,3000,IND@NY 11/05/2017 07:30PM ET,7.625,NY,,
SF,Mindaugas Kuzminskas,3000,IND@NY 11/05/2017 07:30PM ET,0,NY,,
SG,Damyean Dotson,3000,IND@NY 11/05/2017 07:30PM ET,5.2,NY,,
PF,Isaiah Hicks,3000,IND@NY 11/05/2017 07:30PM ET,0,NY,,
PG,Russell Westbrook,10600,OKC@POR 11/05/2017 09:00PM ET,51.969,OKC,1,
SF,Paul George,7200,OKC@POR 11/05/2017 09:00PM ET,35.594,OKC,1,
SF/PF,Carmelo Anthony,6900,OKC@POR 11/05/2017 09:00PM ET,35.781,OKC,1,
C,Steven Adams,6200,OKC@POR 11/05/2017 09:00PM ET,32.219,OKC,1,
PG/SG,Raymond Felton,3500,OKC@POR 11/05/2017 09:00PM ET,16.531,OKC,,
SF/PF,Jerami Grant,3400,OKC@POR 11/05/2017 09:00PM ET,18.063,OKC,,
SG/SF,Andre Roberson,3100,OKC@POR 11/05/2017 09:00PM ET,10.469,OKC,1,
SG/SF,Terrance Ferguson,3000,OKC@POR 11/05/2017 09:00PM ET,1.429,OKC,,
